# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.74
1                      3785.63
2                      3811.09
4                      3686.98
8                      3731.80
16                     3839.75
32                     3934.02
64                     5327.24
128                    6587.47
256                    9130.72
512                   10911.83
1024                  13886.40
2048                  17227.69
4096                  26821.71
8192                  44179.36
16384                278672.60
32768                424989.82
65536                755166.02
131072              1498401.01
262144              2969049.77
524288              6004114.81
1048576            12066469.72
