# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.59
1                      2926.65
2                      2739.29
4                      2925.26
8                      2933.27
16                     2831.78
32                     5204.77
64                     6651.47
128                    8253.23
256                    7133.89
512                   12265.41
1024                  18088.68
2048                  19633.00
4096                  22867.57
8192                  33377.62
16384                 76886.78
32768                140007.89
65536                229069.37
131072               434901.67
262144               969286.28
524288              1944150.59
1048576             3758873.67
