# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        31.73
1                     26540.44
2                     26060.43
4                     26211.70
8                     26324.20
16                    26437.61
32                    26503.92
64                    26658.34
128                   27197.57
256                   40029.91
512                   47148.88
1024                  64122.72
2048                  74804.30
4096                  96958.85
8192                 151602.45
16384                274464.43
32768                424524.57
65536                763034.99
131072              1478302.40
262144              3146166.87
524288              6643892.50
1048576            13979305.95
