# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.73
1                       274.50
2                       269.85
4                       265.03
8                       262.66
16                      265.60
32                      275.81
64                      278.67
128                     271.84
256                    3871.24
512                    4055.46
1024                   6229.12
2048                   4303.34
4096                   4781.30
8192                   5766.96
16384                 55320.87
32768                 74925.87
65536                 86666.24
131072               112300.45
262144               167243.88
524288               264612.14
1048576              464475.34
