# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.95
1                     29436.59
2                     28714.80
4                     29251.28
8                     31158.46
16                    31462.51
32                    33095.38
64                    29965.53
128                   28111.40
256                   31476.31
512                   31143.57
1024                  36401.60
2048                  49404.82
4096                  55237.15
8192                  61759.74
16384                 27769.47
32768                 14545.21
65536                 52240.51
131072               164401.73
262144               345768.46
524288               692647.77
1048576              571463.40
