# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       555.10
1                       552.85
2                       550.60
4                       550.38
8                       551.18
16                      555.13
32                      558.91
64                      564.81
128                     585.52
256                     885.68
512                    1226.94
1024                   1525.82
2048                    969.22
4096                   1025.47
8192                   1365.60
16384                  2211.02
32768                  3743.58
65536                  6502.00
131072                12233.06
262144                23532.70
524288                45742.57
1048576               90507.17
2097152              179636.72
4194304              358158.98
