# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.60
1                        87.30
2                        86.69
4                        81.23
8                        85.89
16                       85.81
32                      101.58
64                      122.16
128                    1023.70
256                    2121.15
512                    2973.75
1024                   3012.37
2048                   2458.23
4096                   2966.47
8192                   4103.63
16384                  6426.82
32768                 10771.55
65536                 19201.35
131072                36164.59
262144                69907.83
524288               136626.86
1048576              270245.66
