Iniciando testes de Rede...

Iniciando bateria: 4... 

Iniciando rodada de testes: 1 bateria: 4

Iniciando teste osu_allgather_ seg 11 set 2023 14:22:32 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.56
1                      1417.12
2                      1412.39
4                      1372.25
8                      1388.97
16                     1399.74
32                     1433.22
64                     1447.16
128                    2199.94
256                    2740.65
512                    3490.46
1024                   4066.51
2048                   3520.20
4096                   4117.93
8192                   5613.92
16384                  8305.81
32768                 12946.47
65536                 21881.29
131072                39793.76
262144                74451.79
524288               147996.05
1048576              292950.74
Iniciando teste osu_alltoall_ seg 11 set 2023 14:30:14 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.40
1                      1512.07
2                      1459.46
4                      1509.42
8                      1504.83
16                     1569.01
32                     1540.70
64                     1512.13
128                    1523.44
256                    2208.11
512                    3550.34
1024                   3575.33
2048                   3398.53
4096                   4059.81
8192                   5578.88
16384                  6751.68
32768                 11219.18
65536                 24099.29
131072                43276.57
262144                79935.66
524288               153410.78
1048576              300354.77
Iniciando teste osu_alltoallv_ seg 11 set 2023 14:32:06 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        17.73
1                      1593.53
2                      1555.24
4                      1539.92
8                      1556.03
16                     1547.22
32                     1517.91
64                     1566.47
128                    1573.08
256                    2304.10
512                    3465.77
1024                   3543.99
2048                   3364.49
4096                   3750.28
8192                   4356.72
16384                  6595.91
32768                 11268.57
65536                 20879.65
131072                45294.13
262144                76372.49
524288               155654.44
1048576              305155.39
Iniciando teste osu_barrier_ seg 11 set 2023 14:33:57 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1328.90
Iniciando teste osu_bcast_ seg 11 set 2023 14:33:59 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.48
1                        85.20
2                        82.97
4                        83.41
8                        82.73
16                       82.78
32                       87.62
64                       94.39
128                     105.11
256                    2091.76
512                    2260.72
1024                   3771.32
2048                   2382.84
4096                   2749.03
8192                   3355.99
16384                  4889.25
32768                  8023.90
65536                 13535.11
131072                24785.14
262144                47464.90
524288                92206.92
1048576              181381.85
Iniciando teste osu_gather_ seg 11 set 2023 14:37:57 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.95
1                      7214.50
2                      6628.82
4                      7193.13
8                      6023.40
16                     7495.57
32                     8388.13
64                     7853.95
128                    9525.34
256                    5307.75
512                    6239.91
1024                   5849.03
2048                   6331.50
4096                   5091.35
8192                   7157.76
16384                  5502.61
32768                  9447.90
65536                 17689.86
131072                34174.19
