Iniciando testes de Rede...

Iniciando bateria: 8... 

Iniciando rodada de testes: 1 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 12:41:22 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.55
1                      1932.24
2                      1909.97
4                      1907.41
8                      1899.58
16                     1877.69
32                     2021.32
64                     2650.91
128                    3246.20
256                    4974.45
512                    6254.92
1024                   5810.18
2048                   6193.15
4096                   8047.27
8192                  12080.75
16384                 18246.87
32768                 30574.28
65536                 55842.66
131072                96634.74
262144               183144.98
524288               353195.77
1048576              687427.45
Iniciando teste osu_alltoall_ sex 25 ago 2023 12:55:11 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.38
1                      2302.63
2                      2212.16
4                      2283.25
8                      2177.22
16                     2216.38
32                     2200.83
64                     2212.16
128                    2201.57
256                    3772.93
512                    4746.67
1024                   5866.12
2048                   6041.20
4096                   7599.18
8192                  10281.38
16384                 13137.87
32768                 31951.40
65536                 65256.73
131072               114720.78
262144               207318.44
524288               473073.17
1048576              980413.88
Iniciando teste osu_alltoallv_ sex 25 ago 2023 12:59:49 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.03
1                      2404.02
2                      2335.10
4                      2593.07
8                      2594.09
16                     2545.34
32                     2419.09
64                     2579.10
128                    2459.64
256                    3948.82
512                    5079.87
1024                   6297.96
2048                   6506.32
4096                   7887.66
8192                  11183.21
16384                 17619.30
32768                 29743.09
65536                 63726.08
131072               127737.26
262144               243037.83
524288               414811.06
1048576              800308.94
Iniciando teste osu_barrier_ sex 25 ago 2023 13:04:11 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1857.26
Iniciando teste osu_bcast_ sex 25 ago 2023 13:04:13 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.49
1                       140.28
2                       148.14
4                       140.44
8                       144.45
16                      144.82
32                      143.77
64                      156.05
128                     149.71
256                    3182.89
512                    3281.70
1024                   5687.04
2048                   3531.78
4096                   4130.31
8192                   5113.47
16384                 10776.61
32768                 12203.62
65536                 18683.63
131072                28453.90
262144                51360.95
524288                91771.23
1048576              184310.98
Iniciando teste osu_gather_ sex 25 ago 2023 13:09:56 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.83
1                     22338.25
2                     23446.03
4                     23773.56
8                     22833.67
16                    25943.87
32                    24784.79
64                    22931.23
128                   19800.13
256                   19594.21
512                   20919.88
1024                  20870.47
2048                  22189.38
4096                  24404.42
8192                  25865.43
16384                 10282.58
32768                 19526.80
65536                 32818.14
131072                51622.75
262144                93649.34
524288               190773.23
1048576              379023.29
Iniciando teste osu_multi_lat_ sex 25 ago 2023 14:08:39 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       469.09
1                       468.64
2                       470.20
4                       468.60
8                       467.55
16                      469.89
32                      471.13
64                      474.73
128                     482.65
256                     658.16
512                    1005.85
1024                   1564.25
2048                    986.44
4096                   1045.54
8192                   1414.47
16384                  2239.08
32768                  3814.00
65536                  6600.10
131072                12332.54
262144                23589.61
524288                45838.24
1048576               90562.42
2097152              179618.25
4194304              358109.82
Iniciando teste osu_scatter_ sex 25 ago 2023 14:37:32 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.62
1                       142.14
2                       141.17
4                       142.99
8                       142.44
16                      154.24
32                      216.22
64                      997.25
128                    2109.37
256                    4032.90
512                    4317.38
1024                   4302.44
2048                   4158.71
4096                   5460.41
8192                   8237.20
16384                 13293.27
32768                 23139.78
65536                 42679.64
131072                82451.58
262144               160611.17
524288               316366.02
1048576              628135.43
Rodada 1 bateria: 8 
Iniciando rodada de testes: 2 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 14:47:03 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.57
1                      1946.98
2                      1946.55
4                      1941.53
8                      1955.97
16                     1953.72
32                     1994.32
64                     2688.90
128                    3249.06
256                    5008.72
512                    5517.17
1024                   5788.89
2048                   6236.92
4096                   8239.56
8192                  11562.17
16384                 18315.23
32768                 29536.33
65536                 56014.19
131072                95997.99
262144               180355.37
524288               355172.85
1048576              686018.48
Iniciando teste osu_alltoall_ sex 25 ago 2023 15:00:42 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.32
1                      2265.92
2                      2208.00
4                      2219.09
8                      2220.93
16                     2201.90
32                     2202.59
64                     2391.71
128                    2196.38
256                    3609.61
512                    4979.34
1024                   5859.66
2048                   5971.20
4096                   7368.57
8192                  10290.54
16384                 14707.83
32768                 32461.64
65536                 63450.31
131072               113711.66
262144               206829.57
524288               496284.08
1048576              986240.01
Iniciando teste osu_alltoallv_ sex 25 ago 2023 15:05:22 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.48
1                      2641.01
2                      2619.46
4                      2769.13
8                      2602.50
16                     2801.70
32                     2644.32
64                     2653.20
128                    2639.52
256                    3937.00
512                    5465.69
1024                   6511.19
2048                   6723.72
4096                   8044.95
8192                  11492.31
16384                 18768.85
32768                 28547.85
65536                 67545.33
131072               126107.89
262144               228198.59
524288               404849.26
1048576              778713.69
Iniciando teste osu_barrier_ sex 25 ago 2023 15:09:43 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1781.09
Iniciando teste osu_bcast_ sex 25 ago 2023 15:09:46 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.39
1                       181.51
2                       170.68
4                       166.43
8                       172.05
16                      168.93
32                      174.88
64                      177.56
128                     172.59
256                    3209.77
512                    3349.77
1024                   5667.80
2048                   3584.01
4096                   4137.19
8192                   5094.20
16384                 10392.83
32768                 13592.17
65536                 18796.23
131072                29868.17
262144                50224.98
524288                97653.97
1048576              176941.81
Iniciando teste osu_gather_ sex 25 ago 2023 15:15:23 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.85
1                     22232.79
2                     23479.85
4                     23735.59
8                     25054.17
16                    24618.57
32                    25217.59
64                    21734.99
128                   19947.15
256                   18467.40
512                   21058.31
1024                  19329.42
2048                  21690.27
4096                  23587.00
8192                  25331.75
16384                 10252.16
32768                 19591.34
65536                 36272.92
131072                49142.23
262144                93735.67
524288               190645.20
1048576              378746.58
Iniciando teste osu_multi_lat_ sex 25 ago 2023 16:13:28 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       463.26
1                       465.53
2                       468.41
4                       469.61
8                       470.57
16                      470.64
32                      471.17
64                      476.10
128                     489.52
256                     657.78
512                     937.86
1024                   1552.83
2048                    977.63
4096                   1032.28
8192                   1392.98
16384                  2196.41
32768                  3789.32
65536                  6568.56
131072                12275.88
262144                23570.39
524288                45774.24
1048576               90524.58
2097152              179465.72
4194304              357841.11
Iniciando teste osu_scatter_ sex 25 ago 2023 16:42:08 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.62
1                       159.59
2                       154.32
4                       158.20
8                       154.46
16                      163.53
32                      170.11
64                     1016.60
128                    2057.56
256                    3974.24
512                    4150.96
1024                   4290.02
2048                   4068.01
4096                   5440.61
8192                   8130.33
16384                 13200.30
32768                 23093.01
65536                 42811.03
131072                82268.75
262144               160378.40
524288               316224.97
1048576              628013.43
Rodada 2 bateria: 8 
Iniciando rodada de testes: 3 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 16:50:46 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.50
1                      1887.09
2                      1905.95
4                      1909.61
8                      1915.98
16                     1930.02
32                     1964.56
64                     2763.00
128                    3305.95
256                    4785.09
512                    5317.31
1024                   5648.70
2048                   6073.13
4096                   7978.61
8192                  11500.16
16384                 18615.81
32768                 30010.48
65536                 53395.74
131072                92890.61
262144               174728.33
524288               349671.14
1048576              680146.62
Iniciando teste osu_alltoall_ sex 25 ago 2023 17:04:11 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.26
1                      2108.18
2                      2055.15
4                      2058.81
8                      2008.78
16                     2017.44
32                     2000.02
64                     2032.68
128                    2027.64
256                    3477.43
512                    4396.07
1024                   5409.61
2048                   5554.60
4096                   7078.45
8192                   9753.64
16384                 13837.66
32768                 28382.08
65536                 60799.81
131072               107019.61
262144               190333.16
524288               422031.21
1048576              956331.33
Iniciando teste osu_alltoallv_ sex 25 ago 2023 17:08:32 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.22
1                      2251.40
2                      2292.11
4                      2225.66
8                      2219.03
16                     2275.92
32                     2220.35
64                     2269.86
128                    2288.47
256                    3581.24
512                    4621.45
1024                   5709.21
2048                   5838.04
4096                   7255.81
8192                  10117.97
16384                 13332.18
32768                 28945.12
65536                 69611.57
131072               124461.31
262144               235511.41
524288               412336.89
1048576              799064.43
Iniciando teste osu_barrier_ sex 25 ago 2023 17:12:46 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2101.37
Iniciando teste osu_bcast_ sex 25 ago 2023 17:12:48 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.71
1                       171.89
2                       149.03
4                       142.18
8                       147.07
16                      146.35
32                      145.76
64                      154.32
128                     148.92
256                    3134.92
512                    3256.50
1024                   5567.38
2048                   3419.62
4096                   3936.78
8192                   5018.74
16384                  9967.11
32768                 12507.32
65536                 17606.43
131072                29086.39
262144                49369.50
524288                89720.83
1048576              175372.75
Iniciando teste osu_gather_ sex 25 ago 2023 17:18:26 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.91
1                     22333.65
2                     23524.97
4                     23783.41
8                     24458.37
16                    25252.86
32                    26380.33
64                    22839.44
128                   20654.91
256                   22424.97
512                   22568.68
1024                  20336.22
2048                  23318.83
4096                  24207.72
8192                  27429.63
16384                 10300.73
32768                 19676.21
65536                 34796.37
131072                51897.95
262144                93719.12
524288               190846.38
1048576              379168.74
Iniciando teste osu_multi_lat_ sex 25 ago 2023 18:18:46 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       461.22
1                       456.95
2                       455.96
4                       456.34
8                       455.65
16                      457.05
32                      456.43
64                      458.80
128                     460.06
256                     558.11
512                     829.04
1024                   1573.00
2048                   1000.17
4096                   1059.10
8192                   1435.07
16384                  2239.57
32768                  3845.21
65536                  6640.86
131072                12335.31
262144                23638.89
524288                45886.42
1048576               90663.50
2097152              179862.53
4194304              358452.01
Iniciando teste osu_scatter_ sex 25 ago 2023 18:47:44 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.57
1                       151.10
2                       153.52
4                       150.88
8                       154.28
16                      156.42
32                      164.46
64                     1001.41
128                    2134.62
256                    4060.12
512                    4220.65
1024                   4491.88
2048                   4254.21
4096                   5507.75
8192                   8225.35
16384                 13431.85
32768                 23091.44
65536                 43022.89
131072                82384.03
262144               160621.19
524288               316236.13
1048576              628159.73
Rodada 3 bateria: 8 
Iniciando rodada de testes: 4 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 18:56:40 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.50
1                      1991.35
2                      1971.05
4                      1986.29
8                      1987.52
16                     2012.47
32                     2032.29
64                     2712.28
128                    3454.50
256                    4985.98
512                    5493.12
1024                   5800.86
2048                   6253.97
4096                   8266.50
8192                  11871.48
16384                 19124.22
32768                 30559.73
65536                 54453.95
131072                94276.28
262144               176709.20
524288               344163.22
1048576              678509.84
Iniciando teste osu_alltoall_ sex 25 ago 2023 19:10:26 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.43
1                      2477.05
2                      2485.34
4                      2466.89
8                      2482.96
16                     2488.64
32                     2464.00
64                     2508.06
128                    2485.56
256                    3751.67
512                    5192.00
1024                   6263.88
2048                   6519.93
4096                   7826.61
8192                  11249.19
16384                 17626.16
32768                 28258.39
65536                 65325.22
131072               112832.06
262144               214944.00
524288               477998.50
1048576              977721.05
Iniciando teste osu_alltoallv_ sex 25 ago 2023 19:15:10 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.42
1                      2480.78
2                      2387.83
4                      2365.76
8                      2377.13
16                     2528.55
32                     2410.24
64                     2592.56
128                    2412.73
256                    3891.51
512                    5036.21
1024                   6307.28
2048                   6423.76
4096                   7754.35
8192                  11149.85
16384                 17716.54
32768                 29893.42
65536                 66368.12
131072               124000.64
262144               244123.92
524288               413464.78
1048576              799260.29
Iniciando teste osu_barrier_ sex 25 ago 2023 19:19:32 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1671.26
Iniciando teste osu_bcast_ sex 25 ago 2023 19:19:34 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.37
1                       149.70
2                       152.53
4                       147.00
8                       147.19
16                      148.54
32                      147.66
64                      160.32
128                     246.76
256                    3272.52
512                    3305.56
1024                   5683.23
2048                   3621.73
4096                   4033.50
8192                   5118.99
16384                 10628.03
32768                 13379.94
65536                 18586.08
131072                28905.42
262144                51554.35
524288                92035.46
1048576              181364.05
Iniciando teste osu_gather_ sex 25 ago 2023 19:25:20 -03

Iniciando teste osu_multi_lat_ sex 25 ago 2023 19:45:25 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       456.73
1                       455.41
2                       455.54
4                       455.98
8                       457.31
16                      456.12
32                      458.24
64                      457.69
128                     464.12
256                     575.49
512                     800.97
1024                   1593.60
2048                   1033.14
4096                   1080.21
8192                   1455.47
16384                  2266.08
32768                  3849.62
65536                  6674.29
131072                12355.99
262144                23707.66
524288                45948.52
1048576               90736.94
2097152              179986.34
4194304              358600.11
Iniciando teste osu_scatter_ sex 25 ago 2023 20:14:31 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.75
1                       186.42
2                       183.10
4                       187.41
8                       152.08
16                      149.72
32                      223.62
64                     1019.39
128                    2111.94
256                    3965.68
512                    4210.94
1024                   4332.25
2048                   4204.57
4096                   5511.94
8192                   8227.72
16384                 13404.05
32768                 23275.29
65536                 43094.82
131072                82460.54
262144               160537.27
524288               316264.31
1048576              628512.77
Rodada 4 bateria: 8 
Iniciando rodada de testes: 5 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 20:23:20 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.55
1                      2105.28
2                      2110.76
4                      2119.71
8                      2107.67
16                     2135.91
32                     2156.07
64                     2984.30
128                    3535.33
256                    4969.39
512                    5606.69
1024                   5973.32
2048                   6714.04
4096                   8275.23
8192                  11847.42
16384                 18651.74
32768                 30336.03
65536                 56027.03
131072                96226.92
262144               180855.72
524288               352703.25
1048576              685818.87
Iniciando teste osu_alltoall_ sex 25 ago 2023 20:37:28 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.49
1                      2309.60
2                      2296.61
4                      2420.16
8                      2231.39
16                     2229.03
32                     2401.38
64                     2278.61
128                    2254.18
256                    3634.19
512                    4690.47
1024                   5896.75
2048                   6070.82
4096                   7630.85
8192                  10621.17
16384                 14596.06
32768                 26190.12
65536                 64350.58
131072               112792.24
262144               214209.39
524288               470108.31
1048576              985508.88
Iniciando teste osu_alltoallv_ sex 25 ago 2023 20:42:07 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        20.18
1                      2324.01
2                      2307.93
4                      2504.31
8                      3076.86
16                     3296.52
32                     2976.70
64                     2491.22
128                    2382.16
256                    3693.78
512                    4947.68
1024                   5900.42
2048                   5793.98
4096                   7519.69
8192                  10825.26
16384                 14930.68
32768                 28139.90
65536                 66333.17
131072               125350.31
262144               228931.47
524288               416009.86
1048576              803065.71
Iniciando teste osu_barrier_ sex 25 ago 2023 20:46:27 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1588.28
Iniciando teste osu_bcast_ sex 25 ago 2023 20:46:30 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.66
1                       162.60
2                       144.09
4                       140.31
8                       140.83
16                      137.97
32                      140.05
64                      150.61
128                     145.68
256                    3155.22
512                    3261.77
1024                   5623.36
2048                   3540.06
4096                   3937.94
8192                   5043.11
16384                 10745.49
32768                 12439.03
65536                 18690.49
131072                29402.47
262144                50178.76
524288                96729.26
1048576              177778.01
Iniciando teste osu_gather_ sex 25 ago 2023 20:53:01 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.81
1                     22249.32
2                     23528.88
4                     23816.67
8                     25602.63
16                    25156.70
32                    26340.82
64                    22437.41
128                   20990.24
256                   19428.70
512                   22372.49
1024                  19075.23
2048                  23243.99
4096                  24396.31
8192                  27254.78
16384                 10287.11
32768                 19696.86
65536                 35811.98
131072                50877.41
262144                93747.95
524288               190774.99
1048576              378992.66
Iniciando teste osu_multi_lat_ sex 25 ago 2023 21:52:41 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       555.10
1                       552.85
2                       550.60
4                       550.38
8                       551.18
16                      555.13
32                      558.91
64                      564.81
128                     585.52
256                     885.68
512                    1226.94
1024                   1525.82
2048                    969.22
4096                   1025.47
8192                   1365.60
16384                  2211.02
32768                  3743.58
65536                  6502.00
131072                12233.06
262144                23532.70
524288                45742.57
1048576               90507.17
2097152              179636.72
4194304              358158.98
Iniciando teste osu_scatter_ sex 25 ago 2023 22:21:47 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.78
1                       182.85
2                       147.83
4                       150.29
8                       144.97
16                      152.28
32                      154.23
64                      977.63
128                    2111.60
256                    4014.86
512                    4324.16
1024                   4364.24
2048                   4173.64
4096                   5488.94
8192                   8216.93
16384                 13427.99
32768                 23201.14
65536                 42940.52
131072                82268.38
262144               160568.88
524288               316217.42
1048576              628209.28
Rodada 5 bateria: 8 
Iniciando bateria: 12... 

Iniciando rodada de testes: 1 bateria: 12

Iniciando teste osu_allgather_ sex 25 ago 2023 22:30:34 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         6.01
1                      2656.92
2                      2942.13
4                      2942.13
8                      2942.03
16                     2967.06
32                     3018.81
64                     3923.41
128                    5465.30
256                    6934.04
512                    7029.44
1024                   8163.14
2048                   9061.45
4096                  13498.59
8192                  30268.60
16384                 52712.90
32768                 78763.06
65536                141544.45
131072               289914.44
262144               542800.64
524288              1050698.08
1048576             2106244.52
Iniciando teste osu_alltoall_ sex 25 ago 2023 22:57:05 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.66
1                      3131.13
2                      2978.66
4                      2984.80
8                      2998.54
16                     3211.33
32                     3284.62
64                     5488.69
128                    7800.94
256                    8576.24
512                    9036.30
1024                  13597.18
2048                  13158.52
4096                  15893.94
8192                  30633.68
16384                 73000.25
32768                101992.82
65536                157693.23
131072               330402.37
262144               712647.71
524288              1529082.70
1048576             3222406.73
Iniciando teste osu_alltoallv_ sex 25 ago 2023 23:10:49 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.23
1                      4704.57
2                      4688.22
4                      5271.38
8                      5285.62
16                     5194.84
32                     5168.65
64                     5202.24
128                    5275.56
256                    8246.94
512                    9393.19
1024                  14057.23
2048                  14799.51
4096                  17175.81
8192                  38702.27
16384                 84271.60
32768                116758.69
65536                188260.80
131072               307164.14
262144               558331.52
524288              1077646.24
1048576             2084380.64
Iniciando teste osu_barrier_ sex 25 ago 2023 23:21:52 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      3164.92
Iniciando teste osu_bcast_ sex 25 ago 2023 23:21:56 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.37
1                       182.20
2                       183.47
4                       173.99
8                       183.81
16                      182.35
32                      186.40
64                      194.19
128                     192.94
256                    3449.42
512                    3608.22
1024                   5789.03
2048                   3901.83
4096                   4175.52
8192                   5296.13
16384                 28200.99
32768                 31856.50
65536                 36986.37
131072                51649.08
262144                80995.78
524288               141846.56
1048576              268370.87
Iniciando teste osu_gather_ sex 25 ago 2023 23:28:21 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.80
1                     23749.23
2                     22696.68
4                     23705.48
8                     25728.40
16                    25828.19
32                    25419.35
64                    22953.44
128                   21124.78
256                   19426.66
512                   22702.88
1024                  18765.78
2048                  22906.63
4096                  26420.43
8192                  31646.10
16384                 13975.18
32768                 23277.05
65536                 30152.70
131072                55770.98
262144                94014.96
524288               190493.60
1048576              378358.09
Iniciando teste osu_multi_lat_ sáb 26 ago 2023 00:30:41 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       573.50
1                       577.41
2                       578.74
4                       574.73
8                       574.15
16                      575.84
32                      584.65
64                      591.17
128                     614.72
256                     969.91
512                    1305.03
1024                   1632.99
