Iniciando testes de Rede...

Iniciando bateria: 20... 

Iniciando rodada de testes: 1 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 16:06:12 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.71
1                      3737.11
2                      3614.56
4                      3699.06
8                      3758.55
16                     3754.31
32                     4401.37
64                     5759.78
128                    7204.49
256                    9541.47
512                   10569.57
1024                  13071.49
2048                  17023.57
4096                  54586.42
8192                  72398.69
16384                119091.76
32768                187482.48
65536                349565.19
131072               713570.35
262144              1374022.86
524288              2672076.12
1048576             5345924.96
Iniciando teste osu_alltoall_ seg 04 set 2023 17:05:04 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.62
1                      4650.85
2                      4430.23
4                      4490.55
8                      4458.52
16                     4735.44
32                     7322.21
64                     9101.40
128                   10816.38
256                   12873.76
512                   21052.55
1024                  31769.45
2048                  33133.80
4096                  38906.64
8192                  83134.92
16384                160591.55
32768                261207.96
65536                392157.70
131072               839774.21
262144              1839540.43
524288              3881536.26
1048576             7880765.84
Iniciando teste osu_alltoallv_ seg 04 set 2023 17:38:32 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        28.81
1                     12046.05
2                     12246.12
4                     12402.52
8                     12547.10
16                    12184.70
32                    12173.54
64                    12211.00
128                   12436.81
256                   18164.09
512                   19841.98
1024                  30564.63
2048                  32898.97
4096                  37758.09
8192                  77545.30
16384                156453.70
32768                262968.77
65536                395759.68
131072               724118.01
262144              1395810.88
524288              2826497.56
1048576             6466866.11
Iniciando teste osu_barrier_ seg 04 set 2023 18:07:20 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2155.42
Iniciando teste osu_bcast_ seg 04 set 2023 18:07:23 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.40
1                       280.26
2                       272.75
4                       272.93
8                       273.04
16                      262.25
32                      205.36
64                      212.71
128                     199.56
256                    3571.56
512                    3749.97
1024                   5890.07
2048                   4124.35
4096                   4409.89
8192                   5378.08
16384                 32038.49
32768                 60295.66
65536                 50462.49
131072                83114.72
262144               116322.67
524288               193906.75
1048576              352929.86
Iniciando teste osu_gather_ seg 04 set 2023 18:14:32 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.94
1                     26144.19
2                     25285.07
4                     26320.07
8                     27401.59
16                    28551.40
32                    28379.00
64                    31628.27
128                   26015.21
256                   25863.51
512                   23745.26
1024                  22993.47
2048                  36798.38
4096                  40725.53
8192                  47899.76
16384                 22206.65
32768                 22681.21
65536                 45963.05
131072                96256.63
262144               192004.93
524288               190021.15
1048576              690610.77
Iniciando teste osu_multi_lat_ seg 04 set 2023 19:34:15 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       621.72
1                       627.18
2                       628.84
4                       632.46
8                       633.70
16                      633.96
32                      641.37
64                      654.34
128                     672.23
256                    1022.29
512                    1390.21
1024                   1715.19
2048                   1205.91
4096                   1318.78
8192                   1787.36
16384                  3600.81
32768                  5249.83
65536                  9180.68
131072                24910.30
262144                51004.92
524288                89725.48
1048576              155448.18
2097152              299052.00
4194304              602701.43
Iniciando teste osu_scatter_ seg 04 set 2023 20:34:32 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.70
1                       317.15
2                       329.74
4                       327.72
8                       328.82
16                      351.09
32                      362.92
64                     1337.87
128                    2514.08
256                    4392.94
512                    4801.67
1024                   5146.01
2048                   5780.93
4096                   8872.30
8192                  14630.78
16384                 25775.11
32768                 52528.92
65536                 99847.91
131072               198345.91
262144               391007.60
524288               778481.35
1048576             1544884.83
Rodada 1 bateria: 20 
Iniciando rodada de testes: 2 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 20:49:32 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.69
1                      3611.70
2                      3567.08
4                      3614.11
8                      3590.03
16                     3731.96
32                     4481.25
64                     5469.19
128                    7588.21
256                    9362.25
512                   10245.89
1024                  13080.42
2048                  15879.57
4096                  52096.58
8192                  71925.39
16384                120689.02
32768                183380.95
65536                340128.60
131072               717816.84
262144              1365121.13
524288              2668738.08
1048576             5325450.06
Iniciando teste osu_alltoall_ seg 04 set 2023 21:47:30 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.51
1                      4404.49
2                      4341.96
4                      4478.86
8                      4430.42
16                     4538.40
32                     7520.94
64                     9422.32
128                   11091.55
256                   12160.55
512                   20960.23
1024                  30917.97
2048                  32976.88
4096                  38513.12
8192                  77417.93
16384                150693.71
32768                255769.03
65536                390924.46
131072               834964.40
262144              1819890.38
524288              3870219.24
1048576             7882176.93
Iniciando teste osu_alltoallv_ seg 04 set 2023 22:20:46 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        27.73
1                     12281.81
2                     11361.90
4                     11578.45
8                     11612.04
16                    11161.35
32                    11209.59
64                    11275.76
128                   11319.63
256                   17760.04
512                   19019.37
1024                  28517.37
2048                  30971.64
4096                  36820.98
8192                  94899.85
16384                157044.65
32768                258229.66
65536                401414.41
131072               722708.66
262144              1453438.15
524288              3075191.45
1048576             6709324.32
Iniciando teste osu_barrier_ seg 04 set 2023 22:50:38 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2109.70
Iniciando teste osu_bcast_ seg 04 set 2023 22:50:41 -03

Iniciando teste osu_gather_ seg 04 set 2023 23:12:10 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.80
1                     25936.83
2                     25272.12
4                     26166.61
8                     27428.90
16                    28309.84
32                    28025.36
64                    31821.46
128                   25941.57
256                   24343.03
512                   24587.75
1024                  22777.68
2048                  34227.08
4096                  39816.76
8192                  44753.72
16384                 22467.14
